,metab_ids,0,hmdb
126,HMDB94696,-7.047910883016008,HMDB94696
127,M.1558,-7.0798868423182215,
128,HMDB00296,-7.156172414495119,HMDB00296
129,HMDB00763,-7.291699303901826,HMDB00763
130,HMDB12881,-7.7241067245525965,HMDB12881
131,M.1494,-7.747042008726202,
132,HMDB02100,-7.958670986657919,HMDB02100
133,HMDB01539,-8.0012664578689,HMDB01539
134,M.37063,-8.105315274644113,
135,HMDB00826,-8.115963543612875,HMDB00826
136,HMDB00806,-8.206144538746292,HMDB00806
137,M.18369,-8.22737203260591,
138,HMDB61717,-8.313011612700187,HMDB61717
139,HMDB00115,-8.353119570883281,HMDB00115
140,M.33422,-8.42425333748601,
141,M.2734,-8.544486413910935,
142,HMDB03464,-8.609795040466764,HMDB03464
143,M.37093,-8.624903052339302,
144,HMDB00017,-8.802312155132489,HMDB00017
145,HMDB03374,-9.151845330906863,HMDB03374
146,HMDB00767,-9.302524328545054,HMDB00767
147,HMDB00097,-9.487382838893279,HMDB00097
148,HMDB00613,-9.568352360786411,HMDB00613
149,HMDB00094,-9.766517696608252,HMDB00094
150,HMDB00730,-9.918997599173746,HMDB00730
151,HMDB00439,-9.933894580537975,HMDB00439
152,HMDB00621,-9.994761982192458,HMDB00621
153,HMDB00671,-10.005538127842113,HMDB00671
154,HMDB00562,-10.096445603484817,HMDB00562
155,HMDB00646,-10.192547009147958,HMDB00646
156,HMDB00552,-10.253049931706249,HMDB00552
157,HMDB00122,-10.49169957652806,HMDB00122
158,M.41377,-10.494198962448648,
159,M.39994,-10.564299289551908,
160,HMDB00213,-10.679289518097645,HMDB00213
161,HMDB00705,-10.741994491574529,HMDB00705
162,M.32836,-10.845405670282618,
163,HMDB02520,-11.053860218307717,HMDB02520
164,HMDB39229,-11.15680593975407,HMDB39229
165,M.31548,-11.182292553906953,
166,HMDB00535,-11.38002274900548,HMDB00535
167,HMDB12108,-11.459399185504546,HMDB12108
168,M.33945,-11.5089412767189,
169,HMDB00812,-11.541007767459615,HMDB00812
170,HMDB02123,-11.870616749794927,HMDB02123
171,HMDB29377,-11.91788284860386,HMDB29377
172,HMDB00168,-11.944869966524074,HMDB00168
173,M.42582,-12.119624423130047,
174,M.527,-12.125842563573933,
175,HMDB00126,-12.313819738641666,HMDB00126
176,M.35855,-12.370720833399673,
177,HMDB10394,-12.642758692204854,HMDB10394
178,HMDB00045,-12.795965031063846,HMDB00045
179,HMDB00872,-12.995828933570907,HMDB00872
180,HMDB00177,-13.313133245741133,HMDB00177
181,HMDB00696,-13.657212870529436,HMDB00696
182,HMDB00407,-13.66901098235241,HMDB00407
183,HMDB00161,-13.68470444666631,HMDB00161
184,HMDB00134,-13.69914562544261,HMDB00134
185,HMDB00510,-13.854004645261226,HMDB00510
186,HMDB00574,-13.874527005192482,HMDB00574
187,HMDB02108,-14.012399455002745,HMDB02108
188,HMDB04225,-14.080086898949606,HMDB04225
189,HMDB03818,-14.411449134091662,HMDB03818
190,HMDB02925,-14.797344127314007,HMDB02925
191,M.37058,-14.902856268973112,
192,M.1437,-15.085908394939926,
193,HMDB00672,-15.56322886636515,HMDB00672
194,HMDB03818,-16.283978133364524,HMDB03818
195,HMDB00054,-16.326368295213005,HMDB00054
196,M.32489,-16.661421264348935,
197,M.1644,-17.363334687921522,
198,HMDB00929,-18.03140997642735,HMDB00929
199,HMDB00666,-18.291164510152445,HMDB00666
200,M.32497,-18.362467964743477,
201,HMDB13128,-22.25520630205473,HMDB13128
202,HMDB02320,-22.597665165010604,HMDB02320
203,HMDB00517,-22.61810536808867,HMDB00517
204,M.32418,-22.691700104192282,
205,HMDB29723,-24.510000019646906,HMDB29723
206,HMDB02331,-25.04694214386341,HMDB02331
207,HMDB29006,-26.3325286201504,HMDB29006
