	metabolite	logFC	statistic	P.Value	q	hmdb	metab_ids
315	7-methylxanthine	-0.1254213924901086	0.5188642104335484	0.6061681834720312	0.7749033562321022	HMDB01991	HMDB01991
316	3-methylhistidine	-0.06648028001395588	0.5135589104828095	0.6075604135438466	0.7749033562321022	HMDB00479	HMDB00479
317	hexadecanedioate (C16-DC)	-0.1009687407264827	0.5107525776386411	0.6095243193441097	0.7754839112447336	HMDB00672	HMDB00672
318	5-hydroxyindoleacetate	0.08497622403339421	-0.5095128443660883	0.6127223840028717	0.7763833496259097	HMDB00763	HMDB00763
319	creatinine	0.06355860381050124	-0.5023335791061361	0.6154328925901651	0.7763833496259097	HMDB00562	HMDB00562
320	1,3-dimethylurate	-0.154150190524846	0.4967209134177994	0.6193858724972894	0.7763833496259097	HMDB01857	HMDB01857
321	betaine	0.0781120346287529	-0.4970839536448339	0.621211245529834	0.7763833496259097	HMDB00043	HMDB00043
322	alpha-tocopherol	0.08122675004587052	-0.493914580573631	0.6213665068189029	0.7763833496259097	HMDB01893	HMDB01893
323	1-methylurate	0.11578736656781931	-0.492239631148712	0.6246805058465814	0.7763833496259097	HMDB03099	HMDB03099
324	glycylleucine	0.09836935268362426	-0.48016979601536364	0.6334150710983206	0.7845189073362332	HMDB00759	HMDB00759
325	palmitoyl ethanolamide	-0.09005955110574976	0.4739468362514666	0.6378547644480456	0.7881186272266717	HMDB02100	HMDB02100
326	pyroglutamylglutamine	-0.05739874803130549	0.46585125213194745	0.6413219763843676	0.7905023881572301	HMDB39229	HMDB39229
327	2-hydroxyacetaminophen sulfate*	0.6303439471721846	-0.46256324937735077	0.6459950316137155	0.792461685559546	HMDB62547	HMDB62547
328	ethanolamine	-0.08881525040920099	0.45181958791110566	0.6513989572987167	0.7952946889585282	HMDB00149	HMDB00149
329	alpha-hydroxycaproate	0.15607382330348105	-0.4496809541433141	0.655040871614862	0.7978459905451163	HMDB01624	HMDB01624
330	adenosine 3',5'-cyclic monophosphate (cAMP)	-0.27390866334368674	0.4334167023495186	0.6665080618030532	0.807983829638607	HMDB00058	HMDB00058
331	2-hydroxybutyrate (AHB)	0.08720658818554221	-0.4209499266252537	0.6737916467379839	0.8148915445254676	HMDB00008	HMDB00008
332	cotinine	0.2429255858858696	-0.41915175285285966	0.6769562231408928	0.8165901800576807	HMDB01046	HMDB01046
333	N-acetyl-aspartyl-glutamate (NAAG)	0.09524881835940043	-0.4174766965955404	0.6783735542502523	0.8165901800576807	HMDB01067	HMDB01067
334	alanylleucine	-0.11118237927103337	0.4097245952485803	0.6820079857736834	0.81904697356933	HMDB28691	HMDB28691
335	1-eicosenoyl-GPC (20:1)*	-0.07242194201951332	0.40150818689286266	0.6900113023382218	0.8262112628878521	HMDB10391	HMDB10391
336	1-dihomo-linoleoyl-GPC (20:2)*	-0.07303954267166836	0.39681800076030954	0.6933784173056402	0.8262112628878521	HMDB10392	HMDB10392
337	trigonelline (N'-methylnicotinate)	-0.06644919961328068	0.39288659818357013	0.6944032404037979	0.8262112628878521	HMDB00875	HMDB00875
338	benzoate	0.05257020345932344	-0.39288659818357013	0.6944032404037979	0.8262112628878521	HMDB01870	HMDB01870
339	phenol sulfate	-0.07432979445637472	0.39078992041829314	0.6977448513312965	0.8271477553187081	HMDB60015	HMDB60015
340	heme	-0.1479762653387139	0.38966251881771014	0.6984088050745512	0.8271477553187081	HMDB03178	HMDB03178
