	metab	Spearman_bulk	Spearman_matched	p_bulk	p_matched	q_bulk	q_matched	hmdb	metab_ids
379	glycerol 3-phosphate	0.04896418794411351	0.12824872536679202	0.5127416279207324	0.1006631305276773	0.8344236378329789	0.47449443658405915	HMDB00126	HMDB00126
380	taurocholate	-0.048681268331435004	0.01652848493186044	0.5151833570940194	0.8331115682008661	0.8368063637048968	0.9606376625356166	HMDB00036	HMDB00036
381	leukotriene B4	-0.06828359831292721	0.07033724430543384	0.5177912827640587	0.5076378028811376	0.839449503875065	0.8460850152226196	HMDB01085	HMDB01085
382	oleoylcarnitine (C18:1)	-0.04799730343383951	0.0670779339883522	0.5211109335630923	0.3919723610091296	0.8398302639005379	0.7950908555066704	HMDB05065	HMDB05065
383	sphinganine	0.04782644759922446	0.039614808599747794	0.5225970705303677	0.6134244829225897	0.8398302639005379	0.890751579013443	HMDB00269	HMDB00269
384	myristoylcarnitine (C14)	0.047809246046221346	0.18537207973032588	0.5227468124850376	0.017137568376555407	0.8398302639005379	0.21895161985569297	HMDB05066	HMDB05066
385	sarcosine	0.04918393483979816	0.0388203445804663	0.5229316946950779	0.625991554775712	0.8398302639005379	0.8931623579872969	HMDB00271	HMDB00271
386	xanthine	-0.04748026612671371	-0.06877965163504272	0.5256148284253019	0.38004457632009936	0.8425586013708959	0.785811872947236	HMDB00292	HMDB00292
387	2-methylmalonylcarnitine (C4-DC)	0.048240495985524365	0.09205827622833805	0.5309448155543756	0.24695159083672874	0.845529424300611	0.658142389038571	HMDB13133	HMDB13133
388	3-(4-hydroxyphenyl)propionate	-0.06614434212649052	-0.10127043826412584	0.5310221658110125	0.3394956746359715	0.845529424300611	0.7667765105234607	HMDB02199	HMDB02199
389	acetoacetate	0.04681723785129196	0.03416288550193203	0.5314191942450102	0.6631115196405101	0.845529424300611	0.9063162080285605	HMDB00060	HMDB00060
390	pyridoxate	0.04652036161731858	0.06446979396022226	0.5340285501143933	0.410684238570296	0.8481047103857527	0.8011658905545774	HMDB00017	HMDB00017
391	dodecenedioate (C12:1-DC)	0.061469309121947535	0.0844779809112916	0.539387693901924	0.40094855183087796	0.8527343535676014	0.7963154532882403	HMDB00933	HMDB00933
392	valylhistidine	-0.04717033903047926	0.040358834010190255	0.5401083561332954	0.6123603017013853	0.8527343535676014	0.890751579013443	HMDB29129	HMDB29129
393	caproate (6:0)	0.045400063134044794	0.12494168949950198	0.5439327045793105	0.10982591532108098	0.8548329112112881	0.49741261118965774	HMDB00535	HMDB00535
